Running LIGO.n.50.0.dax mulT: 100 mulD: 300 Pareto, Moheft
   7559087 488.71 || noQ Q (Avg,Max,Min) (0.94, 1.00, 0.71) (0.76, 0.54, 0.99) #fs:  10  -- #Conts: 17 G(13)  H(4) 
   4765653 662.12 || noQ Q (Avg,Max,Min) (0.89, 1.00, 0.76) (0.57, 0.40, 0.93) #fs:  14  -- #Conts: 12 G(2)  H(10) 
  10324092 378.35 || noQ Q (Avg,Max,Min) (0.94, 1.00, 0.66) (0.87, 0.60, 0.99) #fs:   7  -- #Conts: 17 G(17) 
   6348653 599.06 || noQ Q (Avg,Max,Min) (0.84, 1.01, 0.61) (0.61, 0.49, 0.89) #fs:  12  -- #Conts: 10 H(10) 
   4993788 630.59 || noQ Q (Avg,Max,Min) (0.87, 1.00, 0.77) (0.59, 0.46, 0.93) #fs:  15  -- #Conts: 12 G(3)  H(9) 
   6461881 583.29 || noQ Q (Avg,Max,Min) (0.86, 0.99, 0.76) (0.65, 0.56, 0.89) #fs:  13  -- #Conts: 10 G(1)  H(9) 
   7383952 536.00 || noQ Q (Avg,Max,Min) (0.82, 1.01, 0.61) (0.67, 0.49, 0.90) #fs:  12  -- #Conts: 10 H(10) 
   7173388 567.53 || noQ Q (Avg,Max,Min) (0.83, 1.01, 0.61) (0.64, 0.49, 0.90) #fs:  12  -- #Conts: 10 H(10) 
   7609465 472.94 || noQ Q (Avg,Max,Min) (0.93, 1.00, 0.70) (0.78, 0.54, 0.99) #fs:  10  -- #Conts: 17 G(14)  H(3) 
   8427246 409.88 || noQ Q (Avg,Max,Min) (0.91, 1.00, 0.62) (0.83, 0.56, 0.99) #fs:   9  -- #Conts: 17 G(17) 
   7656246 457.18 || noQ Q (Avg,Max,Min) (0.93, 1.00, 0.69) (0.80, 0.54, 0.99) #fs:  10  -- #Conts: 17 G(15)  H(2) 
   9862633 394.12 || noQ Q (Avg,Max,Min) (0.94, 1.00, 0.71) (0.86, 0.60, 0.99) #fs:   8  -- #Conts: 17 G(16)  H(1) 
   7830010 441.41 || noQ Q (Avg,Max,Min) (0.92, 1.00, 0.67) (0.83, 0.54, 0.99) #fs:  10  -- #Conts: 17 G(16)  H(1) 
   7286616 551.76 || noQ Q (Avg,Max,Min) (0.85, 0.99, 0.61) (0.67, 0.50, 0.90) #fs:  13  -- #Conts: 10 G(1)  H(9) 
   7420878 504.47 || noQ Q (Avg,Max,Min) (0.94, 1.00, 0.72) (0.73, 0.54, 0.99) #fs:  10  -- #Conts: 17 G(12)  H(5) 
  18339229 362.12 || noQ Q (Avg,Max,Min) (0.94, 1.00, 0.69) (0.84, 0.63, 0.98) #fs:   9  -- #Conts: 16 E(16) 
   4731810 693.65 || noQ Q (Avg,Max,Min) (0.87, 1.00, 0.67) (0.55, 0.35, 0.93) #fs:  14  -- #Conts: 12 G(1)  H(11) 
  55402330 324.00 || noQ Q (Avg,Max,Min) (1.00, 1.00, 0.97) (0.96, 0.91, 1.00) #fs:   1  -- #Conts: 14 C(14) 
   9194301 398.47 || noQ Q (Avg,Max,Min) (0.93, 1.00, 0.66) (0.85, 0.60, 0.99) #fs:  10  -- #Conts: 17 G(16)  E(1) 
   8340124 425.65 || noQ Q (Avg,Max,Min) (0.91, 1.00, 0.63) (0.81, 0.56, 0.99) #fs:   9  -- #Conts: 17 G(16)  H(1) 
/////////////////size: 20
  55402330 324.00 || noQ Q (Avg,Max,Min) (1.00, 1.00, 0.97) (0.96, 0.91, 1.00) #fs:   1  -- #Conts: 14 C(14) 
   4993788 630.59 || noQ Q (Avg,Max,Min) (0.87, 1.00, 0.77) (0.59, 0.46, 0.93) #fs:  15  -- #Conts: 12 G(3)  H(9) 
   7383952 536.00 || noQ Q (Avg,Max,Min) (0.82, 1.01, 0.61) (0.67, 0.49, 0.90) #fs:  12  -- #Conts: 10 H(10) 
   6461881 583.29 || noQ Q (Avg,Max,Min) (0.86, 0.99, 0.76) (0.65, 0.56, 0.89) #fs:  13  -- #Conts: 10 G(1)  H(9) 
   8340124 425.65 || noQ Q (Avg,Max,Min) (0.91, 1.00, 0.63) (0.81, 0.56, 0.99) #fs:   9  -- #Conts: 17 G(16)  H(1) 
